iter	Logloss
0	0.664742105
1	0.6376512374
2	0.612579241
3	0.5918168711
4	0.5709696487
5	0.5544533051
6	0.5377280495
7	0.5245180212
8	0.5098741901
9	0.4959591167
10	0.4829268022
11	0.4708863352
12	0.4598771319
13	0.4490287872
14	0.4385751819
15	0.4278903654
16	0.4197792328
17	0.4104550396
18	0.40390915
19	0.3978080161
20	0.3915216305
21	0.3841991915
22	0.3779603621
23	0.3724078641
24	0.3672201114
25	0.3634895338
26	0.3584878441
27	0.3543996402
28	0.3506930631
29	0.3473156361
30	0.3431307497
31	0.3388475055
32	0.3353035143
33	0.3327196229
34	0.3294862777
35	0.3262481689
36	0.3225251815
37	0.3196839321
38	0.3166580069
39	0.3146175692
40	0.3129983316
41	0.3102804351
42	0.3078503879
43	0.3057382103
44	0.3040018491
45	0.3018674245
46	0.2995857252
47	0.2983564374
48	0.2970874714
49	0.2960438017
50	0.2952501353
51	0.2944883212
52	0.2936257678
53	0.2922144738
54	0.2915065759
55	0.2904593728
56	0.2896441399
57	0.2882680484
58	0.2875176719
59	0.2868458141
60	0.2858663202
61	0.2852675371
62	0.284742038
63	0.2836832403
64	0.2826141567
65	0.281862079
66	0.2807571123
67	0.2801909144
68	0.2792893896
69	0.2781993153
70	0.277644424
71	0.2769426244
72	0.2762671809
73	0.275595454
74	0.2749169744
75	0.274463791
76	0.2736798347
77	0.2732406276
78	0.2728550487
79	0.2722794024
80	0.271791697
81	0.2712334294
82	0.2709294053
83	0.2704908001
84	0.2698958906
85	0.2695510105
86	0.268963979
87	0.2684915847
88	0.2678104355
89	0.2671758478
90	0.266809951
91	0.266426937
92	0.2661232008
93	0.2657791844
94	0.2653846806
95	0.2650985325
96	0.2647252549
97	0.264217946
98	0.2638958102
99	0.2635897183
