iter	Passed	Remaining
0	0	40
1	0	36
2	1	45
3	1	39
4	1	33
5	1	30
6	2	27
7	2	25
8	2	23
9	2	22
10	2	21
11	2	20
12	2	19
13	3	20
14	3	19
15	3	19
16	3	18
17	4	18
18	4	18
19	4	19
20	5	19
21	5	18
22	5	18
23	5	17
24	5	17
25	6	17
26	6	16
27	6	16
28	6	15
29	6	15
30	6	15
31	7	14
32	7	14
33	7	14
34	7	14
35	7	13
36	7	13
37	8	13
38	8	13
39	8	13
40	9	13
41	9	12
42	9	12
43	9	12
44	10	12
45	10	11
46	10	11
47	10	11
48	10	11
49	11	11
50	11	10
51	11	10
52	11	10
53	11	9
54	11	9
55	12	9
56	12	9
57	12	8
58	12	8
59	12	8
60	12	8
61	12	7
62	12	7
63	13	7
64	13	7
65	13	6
66	13	6
67	13	6
68	14	6
69	14	6
70	14	5
71	14	5
72	14	5
73	15	5
74	15	5
75	16	5
76	16	4
77	16	4
78	16	4
79	16	4
80	17	4
81	17	3
82	17	3
83	17	3
84	17	3
85	17	2
86	18	2
87	18	2
88	18	2
89	18	2
90	18	1
91	18	1
92	18	1
93	19	1
94	19	1
95	19	0
96	19	0
97	19	0
98	19	0
99	19	0
